OFFENSE,VIOLENT,NONVIOLENT
'ABDUCTION' 'ABDUCTION - REMOVE FROM PLACE FOUND',1,0
 'ABDUCTION - RESTRAIN LIBERTY',1,0
" 'AGG BURGLARY-ARMED W/ DEADLY WEAPON, ORDNANCE'",1,0
" 'AGG ROBBERY - ARMED, DEADLY ORDNANCE'",1,0
" 'AGG ROBBERY - ARMED, DEADLY WEAPON'",1,0
 'AGG ROBBERY - INFLICT/ATTEMPT SERIOUS HARM',1,0
 'AGG VEH HOM/VEH HOM/VEH MNSLGHTER' 'AGGRAVATED ARSON',1,0
 'AGGRAVATED ASSAULT' 'AGGRAVATED ASSAULT - WEAPON OR ORDNANCE',1,0
 'AGGRAVATED BURGLARY' 'AGGRAVATED BURGLARY - INFLICT HARM',1,0
 'AGGRAVATED MENACING' 'AGGRAVATED MURDER',1,0
 'AGGRAVATED MURDER - PREMEDITATED' 'AGGRAVATED ROBBERY',1,0
 'AGGRAVATED TRESPASS' 'AGGRAVATED VEHICULAR ASSAULT' 'ARSON',1,0
 'ARSON - PROPERTY OF ANOTHER' 'ASSAULT' 'ASSAULT - KNOWINGLY HARM VICTIM',1,0
 'ASSAULT - RECKLESSLY HARM VICTIM',1,0
 'B&E -COMMIT THEFT/FELONY-UNOCC/FORCE/STEALTH',0,1
 'B&E-COMMIT FELONY-PREMISES OF ANOTHER' 'BREAKING AND ENTERING' 'BRIBERY',0,1
 'BURGLARY' 'BURGLARY- TRESPASS LIKELY OCC STRUCT COMMIT OFFENSE',0,1
 'BURGLARY- TRESPASS OCC STRUCT TO COMMIT OFFENSE',0,1
 'BURGLARY- TRESPASS OCC/LIKELY OCC STRUCT TO COMMIT OFFENSE',0,1
 'BURGLARY- TRESPASS STRUCT TO COMMIT OFFENSE',0,1
" 'CONTAMINATE SUBST FOR HUMAN CONSUMP/USE,SPREAD FALSE REPORT'",0,1
 'CONTRIB TO CHILD UNRULINESS/DELINQUENCY' 'CRIMINAL CHILD ENTICEMENT',1,0
 'CRIMINAL DAMAGING/ENDANGERING',1,0
" 'CRIMINAL DAMAGING/ENDANGERING - KNOWINGLY, ANY MEANS'",1,0
 'CRIMINAL MISCHIEF',0,1
 'CRIMINAL MISCHIEF - MOVE/DEFACE/TAMPER PROP OF ANOTHER',0,1
" ""CRIMINAL MISCHIEF - SET FIRE OTHER'S LAND""",0,1
 'CRIMINAL MISCHIEF - TAMPER WITH MARKER' 'CRIMINAL SIMULATION',0,1
