INCIDENT_NO,OFFENSE,HOUR_FROM,HOUR_TO,LONGITUDE_X,LATITUDE_X
249000619,DOMESTIC VIOLENCE,48,51.0,-84.55366169,39.14389835
249000612,FELONIOUS ASSAULT,2210,2220.0,-84.46582722,39.13841723
249000610,DOMESTIC VIOLENCE,2130,2130.0,-84.49531315,39.12446105
249000605,AGGRAVATED ROBBERY,1945,2026.0,-84.51147805,39.10148459
249000604,AGGRAVATED MENACING,1933,1934.0,-84.44084202,39.11564453
249000603,UNAUTHORIZED USE OF MOTOR VEHICLE,1719,1919.0,-84.5513461,39.11565132
249000586,THEFT,1650,1656.0,-84.51326537,39.10651764
249000588,DOMESTIC VIOLENCE,1645,176.0,-84.4720643,39.16605202
249000590,ASSAULT,1630,1715.0,-84.57757068,39.15544537
249000584,THEFT,1555,1557.0,-84.49711595,39.14896115
249000581,THEFT,1552,1557.0,-84.50395331,39.11050923
249000587,THEFT,150,1520.0,-84.58536642,39.11127415
249000599,CRIMINAL DAMAGING/ENDANGERING,140,160.0,-84.55816024,39.10732877
249000574,THEFT,140,1410.0,-84.57547248,39.12647412
249000573,ASSAULT,140,1415.0,-84.55917024,39.10790877
249000570,MENACING,1340,1420.0,-84.52950815,39.16081081
249000575,TELEPHONE HARASSMENT,1332,1334.0,-84.59121563,39.10844764
249000598,TELEPHONE HARASSMENT,130,170.0,-84.49316569,39.1412604
249000591,THEFT,130,150.0,-84.51896556,39.10263914
249000589,CRIMINAL DAMAGING/ENDANGERING,130,1530.0,-84.50885643,39.10429121
249000579,THEFT,1230,1530.0,-84.51459392,39.10297528
249000554,THEFT,110,110.0,-84.43762025,39.11850848
249000559,CRIMINAL DAMAGING/ENDANGERING,60,110.0,-84.46775083,39.21494314
249000546,THEFT,510,523.0,-84.54704653,39.2038795
249000550,CRIMINAL DAMAGING/ENDANGERING,440,50.0,-84.52934149,39.13686443
249000542,CRIMINAL DAMAGING/ENDANGERING,320,324.0,-84.59498419,39.14557326
249000596,THEFT,20,230.0,-84.54612379,39.18913877
249000552,CRIMINAL DAMAGING/ENDANGERING,20,230.0,-84.45568363,39.20266979
249000552,THEFT,20,230.0,-84.45499363,39.20238979
249000537,CRIMINAL DAMAGING/ENDANGERING,30,36.0,-84.45835474,39.20593768
249000549,DOMESTIC VIOLENCE,230,2330.0,-84.5055019,39.15216528
249000548,THEFT,230,715.0,-84.59490598,39.12947354
249000534,VIOLATE PROTECTION ORDER/CONSENT AGREEMENT,230,2330.0,-84.58343687,39.14419356
249000563,THEFT,200,120.0,-84.48383843,39.12358371
