OFFENSE,VIOLENT
ABDUCTION,1
ABDUCTION - REMOVE FROM PLACE FOUND,1
ABDUCTION - RESTRAIN LIBERTY,1
AGG BURGLARY-ARMED W/ DEADLY WEAPON,1
 ORDNANCE,1
AGG ROBBERY - ARMED,1
 DEADLY ORDNANCE,1
AGG ROBBERY - ARMED,1
 DEADLY WEAPON,1
AGG ROBBERY - INFLICT/ATTEMPT SERIOUS HARM,1
AGG VEH HOM/VEH HOM/VEH MNSLGHTER,1
AGGRAVATED ARSON,1
AGGRAVATED ASSAULT,1
AGGRAVATED ASSAULT - WEAPON OR ORDNANCE,1
AGGRAVATED BURGLARY,1
AGGRAVATED BURGLARY - INFLICT HARM,1
AGGRAVATED MENACING,1
AGGRAVATED MURDER,1
AGGRAVATED MURDER - PREMEDITATED,1
AGGRAVATED ROBBERY,1
AGGRAVATED TRESPASS,1
AGGRAVATED VEHICULAR ASSAULT,1
ARSON,1
ARSON - PROPERTY OF ANOTHER,1
ASSAULT,1
ASSAULT - KNOWINGLY HARM VICTIM,1
ASSAULT - RECKLESSLY HARM VICTIM,1
B&E -COMMIT THEFT/FELONY-UNOCC/FORCE/STEALTH,1
B&E-COMMIT FELONY-PREMISES OF ANOTHER,1
BREAKING AND ENTERING,0
BRIBERY,0
BURGLARY,0
BURGLARY- TRESPASS LIKELY OCC STRUCT COMMIT OFFENSE,0
BURGLARY- TRESPASS OCC STRUCT TO COMMIT OFFENSE,0
BURGLARY- TRESPASS OCC/LIKELY OCC STRUCT TO COMMIT OFFENSE,0
BURGLARY- TRESPASS STRUCT TO COMMIT OFFENSE,0
CONTAMINATE SUBST FOR HUMAN CONSUMP/USE,0
SPREAD FALSE REPORT,0
CONTRIB TO CHILD UNRULINESS/DELINQUENCY,0
CRIMINAL CHILD ENTICEMENT,0
CRIMINAL DAMAGING/ENDANGERING,1
CRIMINAL DAMAGING/ENDANGERING - KNOWINGLY,1
 ANY MEANS,0
CRIMINAL MISCHIEF,0
CRIMINAL MISCHIEF - MOVE/DEFACE/TAMPER PROP OF ANOTHER,0
CRIMINAL MISCHIEF - SET FIRE OTHERS LAND,0
CRIMINAL MISCHIEF - TAMPER WITH MARKER,0
CRIMINAL SIMULATION,0
CRIMINAL TRESPASS,0
DECEPTION TO OBTAIN A DANGEROUS DRUG,0
DEFR LIVERY/HOSTELRY-ABSCONDED W/O PAYING,0
DEFR LIVERY/HOSTELRY-HIRED/RENTED W/O MEANS PAY,0
DEFRAUDING A LIVERY OR HOSTELRY,0
DEFRAUDING CREDITORS,0
DEFRAUDING LIVERY/HOSTELRY-FAILED TO PAY,0
